iter	Passed	Remaining
0	4	2545
1	8	2327
2	12	2265
3	17	2269
4	21	2318
5	26	2309
6	31	2418
7	36	2443
8	41	2451
9	46	2441
10	51	2476
11	56	2481
12	61	2471
13	65	2436
14	69	2430
15	75	2450
16	80	2460
17	85	2459
18	89	2445
19	93	2431
20	99	2441
21	103	2431
22	109	2446
23	113	2427
24	117	2410
25	122	2403
26	127	2414
27	132	2417
28	136	2395
29	141	2390
30	145	2373
31	149	2358
32	152	2340
33	157	2339
34	161	2324
35	166	2322
36	171	2328
37	176	2323
38	180	2314
39	184	2300
40	189	2295
41	194	2293
42	199	2301
43	204	2295
44	209	2293
45	214	2291
46	218	2284
47	222	2275
48	228	2278
49	232	2271
50	237	2267
51	241	2258
52	245	2249
53	251	2250
54	255	2241
55	260	2240
56	264	2229
57	268	2224
58	271	2201
59	275	2198
60	280	2191
61	284	2187
62	289	2184
63	293	2176
64	298	2169
65	303	2167
66	308	2165
67	313	2164
68	318	2163
69	323	2165
70	328	2159
71	333	2159
72	338	2158
73	343	2155
74	348	2149
75	352	2145
76	357	2137
77	361	2133
78	365	2125
79	370	2119
80	375	2116
81	379	2109
82	383	2099
83	387	2094
84	391	2088
85	394	2072
86	398	2066
87	403	2061
88	407	2055
89	411	2048
90	416	2045
91	421	2041
92	426	2041
93	428	2024
94	432	2018
95	434	2002
96	439	1998
97	442	1984
98	446	1980
99	450	1974
100	455	1969
101	459	1966
102	464	1960
103	469	1957
104	473	1953
105	479	1952
106	483	1948
107	488	1945
108	493	1943
109	497	1937
110	502	1932
111	506	1926
112	510	1919
113	512	1906
114	517	1901
115	522	1899
116	526	1893
117	530	1889
118	535	1885
119	540	1881
120	544	1877
121	549	1874
122	553	1868
123	557	1860
124	561	1855
125	566	1852
126	571	1848
127	576	1845
128	582	1846
129	587	1843
130	591	1837
131	595	1832
132	600	1829
133	604	1822
134	609	1820
135	614	1816
136	616	1805
137	621	1800
138	625	1795
139	628	1786
140	631	1779
141	635	1772
142	641	1770
143	645	1767
144	650	1762
145	655	1759
146	660	1756
147	664	1751
148	667	1741
149	672	1740
150	676	1734
151	681	1731
152	685	1725
153	689	1718
154	692	1711
155	696	1706
156	701	1702
157	702	1690
158	706	1683
159	711	1680
160	715	1675
161	720	1672
162	725	1668
163	729	1663
164	733	1658
165	737	1652
166	741	1647
167	746	1643
168	750	1637
169	754	1633
170	758	1628
171	762	1622
172	766	1617
173	768	1606
174	771	1599
175	775	1594
176	779	1589
177	784	1586
178	788	1581
179	792	1576
180	797	1572
181	801	1567
182	806	1563
183	809	1558
184	814	1555
185	819	1551
186	824	1547
187	829	1543
188	833	1538
189	837	1534
190	843	1531
191	847	1527
192	852	1524
193	857	1520
194	862	1517
195	868	1514
196	872	1510
197	876	1505
198	881	1501
199	885	1496
200	890	1493
201	894	1488
202	899	1484
203	903	1478
204	907	1474
205	912	1470
206	916	1465
207	922	1462
208	925	1457
209	930	1454
210	938	1453
211	943	1450
212	947	1445
213	952	1441
214	956	1436
215	960	1432
216	965	1428
217	970	1424
218	976	1422
219	980	1417
220	983	1411
221	987	1405
222	992	1401
223	998	1399
224	1002	1394
225	1006	1389
226	1011	1385
227	1016	1382
228	1021	1378
229	1026	1375
230	1030	1370
231	1035	1365
232	1040	1362
233	1046	1358
234	1051	1355
235	1055	1350
236	1060	1346
237	1064	1342
238	1069	1337
239	1074	1334
240	1079	1330
241	1084	1326
242	1089	1323
243	1094	1318
244	1099	1314
245	1103	1310
246	1107	1305
247	1111	1300
248	1116	1295
249	1121	1291
250	1126	1288
251	1131	1283
252	1135	1279
253	1140	1275
254	1145	1271
255	1150	1266
256	1154	1262
257	1159	1257
258	1163	1253
259	1168	1249
260	1172	1243
261	1176	1239
262	1181	1234
263	1185	1230
264	1190	1226
265	1194	1221
266	1199	1217
267	1204	1213
268	1210	1210
269	1214	1205
270	1220	1202
271	1225	1198
272	1230	1194
273	1235	1190
274	1240	1186
275	1246	1182
276	1251	1179
277	1256	1174
278	1261	1170
279	1265	1165
280	1268	1160
281	1273	1155
282	1277	1151
283	1282	1146
284	1286	1142
285	1291	1137
286	1295	1132
287	1298	1127
288	1303	1123
289	1308	1118
290	1313	1115
291	1318	1110
292	1323	1106
293	1327	1101
294	1331	1096
295	1335	1092
296	1339	1087
297	1344	1082
298	1348	1077
299	1352	1073
300	1356	1068
301	1360	1063
302	1364	1058
303	1368	1053
304	1373	1049
305	1377	1044
306	1381	1039
307	1385	1034
308	1390	1030
309	1395	1026
310	1401	1022
311	1406	1018
312	1412	1015
313	1416	1010
314	1423	1007
